i	j	x	r	mach	theta	press	temp
68	59	1.52406	0.688473	2.19405	13.1856	47.1984	270.027
69	59	1.54384	0.683579	2.20315	13.1257	46.5312	268.93
70	59	1.56688	0.677906	2.21375	13.0562	45.765	267.658
71	59	1.59352	0.671383	2.22618	12.9723	44.8832	266.174
72	59	1.62427	0.663899	2.24094	12.8657	43.8583	264.423
73	59	1.66006	0.655243	2.25897	12.7208	42.6383	262.3
74	59	1.70296	0.644928	2.28238	12.5019	41.1043	259.569
75	59	1.76452	0.630187	2.32022	12.0796	38.741	255.214
76	59	1.83393	0.613602	2.36223	11.6182	36.2785	250.47
77	59	1.90116	0.597574	2.40064	11.2261	34.1654	246.212
78	59	1.97662	0.579614	2.44483	10.7595	31.8891	241.409
79	59	2.01494	0.570498	2.46661	10.5382	30.8249	239.079
80	59	2.05619	0.560684	2.49073	10.284	29.6889	236.528
81	59	2.09466	0.551526	2.51257	10.0624	28.6974	234.244
82	59	2.1422	0.540201	2.54015	9.77467	27.4937	231.393
83	59	2.18117	0.530906	2.56235	9.54819	26.5626	229.127
84	59	2.23593	0.517821	2.59393	9.22135	25.2942	225.946
85	59	2.27542	0.508364	2.61645	8.99144	24.4281	223.708
86	59	2.33844	0.493231	2.6526	8.61989	23.1016	220.168
87	59	2.37852	0.483577	2.67542	8.38748	22.3032	217.966
88	59	2.45101	0.466045	2.71677	7.96544	20.9286	214.04
89	59	2.49179	0.456139	2.7399	7.731	20.1987	211.881
90	59	2.53273	0.446158	2.76314	7.49539	19.4922	209.736
91	59	2.57504	0.435807	2.78702	7.25454	18.7929	207.558
92	59	2.6168	0.425552	2.81062	7.01651	18.1281	205.433
93	59	2.65846	0.415278	2.83399	6.78236	17.4937	203.353
94	59	2.71261	0.401859	2.86438	6.47795	16.7038	200.686
95	59	2.75526	0.391237	2.88819	6.24071	16.1114	198.626
96	59	2.79811	0.380515	2.91204	6.00356	15.54	196.588
97	59	2.86572	0.363491	2.94948	5.63307	14.6861	193.439
98	59	2.90965	0.352357	2.97371	5.39402	14.1601	191.433
99	59	2.95377	0.341116	2.99791	5.15611	13.6545	189.455
100	59	3.03725	0.319681	3.04345	4.71001	12.7548	185.801
101	59	3.08267	0.307925	3.06802	4.47024	12.2956	183.865
102	59	3.12845	0.296006	3.09271	4.22965	11.8521	181.945
103	59	3.17447	0.283952	3.11733	3.9905	11.4267	180.055
104	59	3.2306	0.269149	3.14722	3.7	10.9321	177.793
105	59	3.27791	0.256584	3.17221	3.45742	10.5361	175.928
106	59	3.3256	0.243839	3.19722	3.21472	10.1553	174.088
107	59	3.37367	0.230905	3.22224	2.97164	9.78904	172.27
108	59	3.4501	0.210158	3.26157	2.58808	9.24159	169.461
109	59	3.49968	0.196576	3.28675	2.34127	8.90847	167.693
110	59	3.54973	0.182765	3.31189	2.09302	8.58875	165.951
111	59	3.60021	0.16873	3.33688	1.84407	8.2832	164.242
112	59	3.70116	0.140329	3.38556	1.34739	7.72101	160.977
113	59	3.75342	0.125445	3.40979	1.09284	7.45668	159.382
114	59	3.80632	0.110244	3.43368	0.831968	7.20567	157.831
115	59	3.85958	0.0947999	3.45623	0.575075	6.97709	156.384
116	59	3.91345	0.0790275	3.4774	0.315289	6.7696	155.041
117	59	3.98997	0.0563618	3.49994	0.000896359	6.55601	153.627
118	59	4.00491	0.0519096	3.5	0	6.55546	153.623
119	59	4.09196	0.0259548	3.5	0	6.55546	153.623
120	59	4.17902	0	3.5	0	6.55546	153.623

0	60	0.35465	1.06131	1.71222	16.3466	99.445	334.102
1	60	0.363157	1.05831	1.71508	16.3428	99.016	333.69
2	60	0.381582	1.05188	1.72149	16.3286	98.0612	332.767
3	60	0.400756	1.04523	1.72834	16.3087	97.0495	331.783
4	60	0.420664	1.03839	1.7356	16.2838	95.9866	330.741
5	60	0.441285	1.03136	1.74326	16.2545	94.8778	329.644
6	60	0.462601	1.02416	1.75129	16.2211	93.7285	328.499
7	60	0.484591	1.01679	1.75966	16.1842	92.5432	327.306
8	60	0.507237	1.00927	1.76835	16.1442	91.3263	326.071
9	60	0.530518	1.00161	1.77736	16.1014	90.0817	324.795
10	60	0.554416	0.993815	1.78666	16.0561	88.8125	323.481
11	60	0.578915	0.985902	1.79624	16.0082	87.5213	322.13
12	60	0.603999	0.977877	1.80611	15.958	86.2105	320.744
13	60	0.629654	0.969748	1.81626	15.9053	84.8815	319.324
14	60	0.655868	0.961522	1.82668	15.85	83.5357	317.869
15	60	0.68263	0.953207	1.83739	15.7919	82.1739	316.38
16	60	0.709932	0.944807	1.84839	15.7308	80.7966	314.855
17	60	0.737766	0.936328	1.8597	15.6664	79.404	313.295
18	60	0.766128	0.927774	1.87131	15.5981	77.9962	311.698
19	60	0.795015	0.919148	1.88326	15.5256	76.573	310.062
20	60	0.824424	0.910454	1.89555	15.4485	75.1341	308.386
21	60	0.844659	0.904522	1.90373	15.4034	74.1904	307.275
22	60	0.874712	0.895786	1.91654	15.3183	72.7361	305.542
23	60	0.895475	0.889801	1.92513	15.2669	71.7757	304.383
24	60	0.916395	0.883812	1.93388	15.2127	70.8101	303.208
25	60	0.936374	0.878131	1.94136	15.1859	69.9945	302.206
26	60	0.955567	0.872713	1.94811	15.1728	69.2659	301.304
27	60	0.97479	0.867324	1.95505	15.1549	68.5234	300.377
28	60	0.994189	0.861923	1.96229	15.1313	67.7587	299.416
29	60	1.01342	0.856605	1.9694	15.1101	67.0152	298.473
30	60	1.03306	0.851211	1.97698	15.08	66.2308	297.471
31	60	1.05262	0.845876	1.9845	15.0512	65.4613	296.479
32	60	1.07238	0.840523	1.99226	15.0181	64.6766	295.46
33	60	1.09252	0.835104	2.00043	14.9773	63.8595	294.388
34	60	1.11221	0.829839	2.00817	14.9449	63.0949	293.377
35	60	1.12892	0.825397	2.01539	14.8998	62.3898	292.436
36	60	1.14913	0.820057	2.0237	14.857	61.5875	291.357
37	60	1.16563	0.815721	2.0307	14.8166	60.9201	290.451
38	60	1.18275	0.811247	2.03832	14.765	60.2012	289.468
39	60	1.19951	0.806888	2.04558	14.7201	59.5236	288.533
40	60	1.21611	0.802591	2.05274	14.6765	58.8625	287.614
41	60	1.23323	0.79818	2.06047	14.6225	58.1567	286.624
42	60	1.25041	0.793777	2.0683	14.5666	57.4513	285.627
43	60	1.26671	0.789618	2.07528	14.5257	56.8287	284.739
44	60	1.28357	0.785334	2.08292	14.4722	56.1547	283.77
45	60	1.29904	0.781422	2.09026	14.4145	55.5151	282.843
46	60	1.31429	0.777581	2.09742	14.3594	54.8971	281.939
47	60	1.32874	0.773955	2.10386	14.3169	54.348	281.131
48	60	1.34513	0.769856	2.11143	14.2616	53.7089	280.182
49	60	1.35935	0.766314	2.11834	14.2046	53.1321	279.319
50	60	1.37423	0.762621	2.12556	14.145	52.5353	278.419
51	60	1.38822	0.759159	2.13202	14.098	52.0074	277.617
52	60	1.40132	0.75593	2.13816	14.0516	51.5106	276.857
53	60	1.41454	0.752679	2.1446	13.9986	50.995	276.062
54	60	1.42763	0.749468	2.15108	13.9434	50.4808	275.264
55	60	1.44045	0.746333	2.15747	13.888	49.9785	274.478
56	60	1.45286	0.743307	2.16365	13.8347	49.498	273.722
57	60	1.46405	0.740582	2.16882	13.7971	49.0989	273.089
58	60	1.47533	0.737844	2.17434	13.7513	48.6768	272.417
59	60	1.48611	0.735233	2.17978	13.7032	48.2643	271.755
60	60	1.49648	0.732727	2.18509	13.6549	47.865	271.111
61	60	1.50087	0.731666	2.18794	13.6186	47.6514	270.765
62	60	1.50383	0.730952	2.19019	13.5859	47.4845	270.493
63	60	1.5094	0.729605	2.19344	13.5494	47.2431	270.1
64	60	1.51711	0.727746	2.19716	13.5194	46.9695	269.652
65	60	1.52783	0.725163	2.20219	13.4812	46.6007	269.045
66	60	1.5417	0.721833	2.20862	13.4338	46.1339	268.272
67	60	1.55867	0.717769	2.21639	13.3788	45.5766	267.342
