i	j	x	r	mach	theta	press	temp
74	38	1.20458	0.435011	1.84668	7.61852	81.0097	315.092
75	38	1.21738	0.429004	1.85267	7.58123	80.267	314.264
76	38	1.23258	0.421906	1.85969	7.5409	79.4055	313.297
77	38	1.25026	0.413686	1.86786	7.49544	78.4124	312.172
78	38	1.27065	0.404264	1.87748	7.44003	77.2591	310.854
79	38	1.29402	0.393529	1.889	7.36557	75.8984	309.279
80	38	1.32089	0.381269	1.90328	7.25421	74.2423	307.336
81	38	1.35241	0.366997	1.92231	7.06284	72.0898	304.763
82	38	1.39588	0.347452	1.95411	6.64233	68.6243	300.504
83	38	1.44471	0.325644	1.98916	6.18433	64.9885	295.866
84	38	1.49247	0.304456	2.02057	5.81515	61.8887	291.763
85	38	1.54523	0.281201	2.05694	5.36254	58.4783	287.076
86	38	1.57211	0.269404	2.07464	5.15496	56.8856	284.82
87	38	1.60064	0.25692	2.09443	4.90769	55.1541	282.316
88	38	1.62739	0.245238	2.11213	4.69973	53.6503	280.095
89	38	1.66003	0.231022	2.13466	4.42153	51.7932	277.29
90	38	1.68683	0.219375	2.15265	4.20749	50.3568	275.07
91	38	1.7241	0.203205	2.17836	3.89259	48.3716	271.928
92	38	1.75094	0.191579	2.19658	3.67419	47.0117	269.721
93	38	1.7934	0.173212	2.22592	3.31688	44.9018	266.205
94	38	1.82031	0.161583	2.24436	3.09534	43.6244	264.019
95	38	1.86858	0.140734	2.27783	2.68971	41.3977	260.097
