i	j	x,in	r,in	mach	theta	pres,psi	temp,R	Density,slug/ft3	massflow
29	0	0.125773	0.85101	1.30709	6.67837	178.723	395.023	0.0379565	25.5787
30	0	0.136367	0.841049	1.31554	6.85878	176.671	393.721	0.0376447	24.9403
31	0	0.147487	0.830818	1.32404	7.02008	174.625	392.413	0.0373329	24.2913
32	0	0.159132	0.820322	1.33255	7.16219	172.594	391.104	0.0370222	23.6331
33	0	0.171301	0.809568	1.34105	7.28524	170.585	389.797	0.0367138	22.9669
34	0	0.18399	0.798564	1.34949	7.3896	168.604	388.499	0.0364088	22.2939
35	0	0.197194	0.787315	1.35787	7.47579	166.657	387.212	0.036108	21.6155
36	0	0.210903	0.77583	1.36615	7.5445	164.749	385.939	0.0358121	20.9329
37	0	0.225109	0.764116	1.37432	7.59653	162.881	384.685	0.0355217	20.2475
38	0	0.239801	0.75218	1.38237	7.63282	161.058	383.449	0.0352372	19.5605
39	0	0.254966	0.74003	1.3903	7.65433	159.278	382.234	0.0349587	18.8733
40	0	0.270589	0.727673	1.39809	7.66209	157.543	381.04	0.0346862	18.187
41	0	0.286657	0.715119	1.40576	7.65715	155.851	379.865	0.0344196	17.5029
42	0	0.303153	0.702374	1.41331	7.64053	154.198	378.71	0.0341585	16.8222
43	0	0.320063	0.689448	1.42075	7.61322	152.582	377.572	0.0339024	16.146
44	0	0.337369	0.676348	1.42811	7.57616	150.998	376.448	0.0336506	15.4755
45	0	0.355055	0.663084	1.4354	7.53023	149.441	375.334	0.0334024	14.8118
46	0	0.373106	0.649663	1.44265	7.4762	147.905	374.229	0.0331569	14.1559
47	0	0.391504	0.636096	1.44989	7.41478	146.385	373.125	0.0329131	13.5088
48	0	0.410235	0.622391	1.45714	7.34657	144.874	372.021	0.0326701	12.8715
49	0	0.429283	0.608557	1.46444	7.27207	143.365	370.91	0.0324266	12.2448
50	0	0.448634	0.594604	1.47183	7.19172	141.852	369.787	0.0321818	11.6297
51	0	0.468272	0.58054	1.47934	7.10582	140.328	368.647	0.0319345	11.027
52	0	0.488185	0.566376	1.48699	7.01465	138.787	367.487	0.0316837	10.4375
53	0	0.508358	0.552122	1.49483	6.91838	137.224	366.299	0.0314284	9.86193
54	0	0.518569	0.537786	1.4918	6.6809	137.827	366.758	0.0315269	9.34071
55	0	0.538832	0.523379	1.49991	6.57725	136.22	365.531	0.0312639	8.79441
56	0	0.549073	0.508912	1.49759	6.34561	136.677	365.882	0.0313389	8.29959
57	0	0.559232	0.494394	1.49566	6.11855	137.059	366.173	0.0314014	7.81785
58	0	0.56931	0.479835	1.49413	5.89595	137.363	366.405	0.0314511	7.34966
59	0	0.579307	0.465246	1.49301	5.67769	137.587	366.576	0.0314877	6.89547
60	0	0.589224	0.450638	1.49229	5.46366	137.729	366.684	0.031511	6.45565
61	0	0.59906	0.436021	1.49198	5.25374	137.79	366.73	0.0315209	6.03058
62	0	0.608817	0.421406	1.49209	5.04784	137.77	366.715	0.0315175	5.62055
63	0	0.618493	0.406804	1.4926	4.84587	137.668	366.638	0.031501	5.22584
64	0	0.62809	0.392226	1.4935	4.64774	137.489	366.501	0.0314716	4.84667
65	0	0.637605	0.377683	1.49479	4.45341	137.232	366.305	0.0314297	4.48322
66	0	0.647039	0.363186	1.49646	4.26282	136.902	366.053	0.0313756	4.13562
67	0	0.656391	0.348748	1.49849	4.07592	136.501	365.746	0.0313099	3.80394
68	0	0.661024	0.334378	1.49669	3.86275	136.855	366.018	0.031368	3.49468
69	0	0.670149	0.320089	1.49937	3.68454	136.326	365.612	0.0312813	3.19437
70	0	0.674667	0.305893	1.49835	3.48394	136.528	365.767	0.0313144	2.91515
71	0	0.679114	0.291802	1.49768	3.29008	136.66	365.869	0.0313361	2.65065
72	0	0.683491	0.277828	1.49733	3.10276	136.729	365.921	0.0313473	2.40084
73	0	0.687796	0.263984	1.49729	2.92178	136.738	365.928	0.0313488	2.16563
74	0	0.692029	0.250281	1.49752	2.74697	136.692	365.893	0.0313413	1.94487
75	0	0.696189	0.236733	1.498	2.57813	136.596	365.82	0.0313256	1.73839
76	0	0.700276	0.223353	1.49871	2.41506	136.455	365.712	0.0313025	1.54596
77	0	0.704288	0.210154	1.49964	2.25757	136.273	365.572	0.0312727	1.36733
78	0	0.706255	0.19715	1.49905	2.09877	136.389	365.661	0.0312917	1.20305
79	0	0.708179	0.184354	1.49866	1.94625	136.465	365.719	0.0313041	1.05166
80	0	0.710058	0.17178	1.49846	1.79977	136.505	365.75	0.0313107	0.912816
81	0	0.713725	0.159445	1.49999	1.66405	136.203	365.519	0.0312612	0.785646
82	0	0.71462	0.147362	1.49933	1.52631	136.334	365.619	0.0312826	0.671078
83	0	0.716361	0.135548	1.49956	1.39636	136.288	365.583	0.0312751	0.567588
84	0	0.718052	0.124019	1.49991	1.27159	136.22	365.531	0.0312639	0.47497
85	0	0.718873	0.112792	1.49965	1.15031	136.27	365.57	0.0312722	0.392839
86	0	0.719666	0.101886	1.4995	1.03426	136.3	365.593	0.0312771	0.32051
87	0	0.720431	0.091319	1.49944	0.923324	136.312	365.602	0.031279	0.257446
88	0	0.721168	0.0811128	1.49947	0.817406	136.307	365.598	0.0312782	0.203088
89	0	0.721874	0.0712893	1.49956	0.716457	136.288	365.584	0.0312751	0.156852
90	0	0.722548	0.0618726	1.49972	0.620479	136.258	365.56	0.0312701	0.118134
91	0	0.723189	0.0528898	1.49992	0.529525	136.218	365.53	0.0312635	0.086309
92	0	0.723493	0.044371	1.4999	0.443493	136.22	365.532	0.031264	0.0607422
93	0	0.723777	0.0363508	1.49993	0.362881	136.215	365.527	0.031263	0.0407659
94	0	0.72391	0.0288697	1.49989	0.287892	136.224	365.534	0.0312645	0.0257127
95	0	0.724153	0.0219768	1.49998	0.21904	136.205	365.52	0.0312615	0.0148993
96	0	0.724263	0.0157341	1.5	0.15675	136.202	365.518	0.031261	0.00763677
97	0	0.724311	0.010224	1.49999	0.101826	136.203	365.518	0.0312611	0.00322453
98	0	0.724331	0.00556695	1.49999	0.0554352	136.204	365.519	0.0312613	0.000956004
99	0	0.724347	0.00196858	1.49999	0.019602	136.203	365.519	0.0312612	0.000119544
100	0	0.724356	0	1.5	0	136.202	365.518	0.031261	0

0	1	0.000230286	1	1.17789	0.0131944	212.191	414.878	0.0429076	36.0004
1	1	0.000575735	0.999445	1.17719	0.0296785	212.382	414.985	0.0429351	35.9611
2	1	0.00115151	0.998518	1.17604	0.0569172	212.697	415.161	0.0429806	35.8954
3	1	0.00195787	0.997216	1.17445	0.0945802	213.134	415.404	0.0430437	35.8032
4	1	0.00299525	0.995534	1.17243	0.14222	213.689	415.713	0.0431237	35.6842
5	1	0.00426431	0.993466	1.17001	0.199277	214.356	416.083	0.0432198	35.5381
6	1	0.00576594	0.991005	1.1672	0.265089	215.129	416.512	0.0433311	35.3642
7	1	0.00750127	0.988142	1.16405	0.338896	216.001	416.993	0.0434564	35.1623
8	1	0.00947171	0.984866	1.16059	0.419858	216.962	417.522	0.0435945	34.9315
9	1	0.0116789	0.981164	1.15684	0.507057	218.004	418.094	0.0437439	34.6712
10	1	0.0141249	0.977022	1.15286	0.59952	219.115	418.702	0.043903	34.3807
11	1	0.0168119	0.972425	1.14868	0.696226	220.284	419.339	0.0440702	34.0591
12	1	0.0197424	0.967356	1.14436	0.796122	221.498	419.998	0.0442435	33.7055
13	1	0.0229193	0.961794	1.13994	0.898141	222.744	420.671	0.0444211	33.3191
14	1	0.0263457	0.955721	1.13547	1.00121	224.007	421.352	0.0446009	32.8989
15	1	0.0300251	0.949114	1.131	1.10428	225.272	422.03	0.0447807	32.444
16	1	0.0339608	0.941953	1.1266	1.20631	226.524	422.699	0.0449583	31.9537
17	1	0.0381567	0.934215	1.12232	1.3063	227.745	423.349	0.0451313	31.4272
18	1	0.0426167	0.925879	1.11822	1.40331	228.92	423.972	0.0452975	30.8641
19	1	0.0473446	0.916924	1.11435	1.49642	230.03	424.558	0.0454543	30.264
20	1	0.0523445	0.907334	1.11078	1.58478	231.059	425.1	0.0455994	29.6269
21	1	0.0576203	0.897094	1.10756	1.6676	231.989	425.588	0.0457304	28.9533
22	1	0.063176	0.886196	1.10474	1.74413	232.802	426.014	0.0458449	28.2442
23	1	0.0690152	0.874636	1.10239	1.81368	233.484	426.37	0.0459407	27.5007
24	1	0.0751417	0.862418	1.10055	1.87561	234.018	426.648	0.0460157	26.725
25	1	0.0815592	0.849553	1.09926	1.92936	234.391	426.842	0.0460682	25.9195
26	1	0.0882712	0.836061	1.09857	1.97445	234.593	426.948	0.0460966	25.0873
27	1	0.095281	0.821967	1.09848	2.01047	234.617	426.96	0.0460999	24.2319
28	1	0.102592	0.807304	1.09903	2.03714	234.46	426.878	0.0460778	23.3572
29	1	0.110208	0.79211	1.10019	2.05431	234.121	426.702	0.0460303	22.4672
30	1	0.118131	0.776425	1.10196	2.06198	233.607	426.434	0.045958	21.5663
31	1	0.126365	0.760289	1.10432	2.06028	232.926	426.078	0.0458623	20.6583
32	1	0.134912	0.743742	1.10721	2.0495	232.09	425.641	0.0457446	19.7473
33	1	0.143773	0.726822	1.11059	2.03001	231.113	425.128	0.045607	18.8368
34	1	0.152951	0.709565	1.11442	2.00231	230.011	424.548	0.0454517	17.9302
35	1	0.162445	0.692002	1.11863	1.96694	228.801	423.909	0.0452807	17.0306
36	1	0.172253	0.674163	1.12319	1.92447	227.498	423.218	0.0450964	16.1405
37	1	0.182374	0.656072	1.12803	1.87548	226.118	422.482	0.0449007	15.2626
38	1	0.192803	0.637755	1.13311	1.8205	224.673	421.709	0.0446956	14.3989
39	1	0.203536	0.619232	1.1384	1.76001	223.176	420.905	0.0444828	13.5515
40	1	0.214565	0.600525	1.14386	1.69443	221.638	420.074	0.0442636	12.7221
41	1	0.225885	0.581651	1.14945	1.62407	220.067	419.221	0.0440393	11.9124
42	1	0.237485	0.562631	1.15517	1.54912	218.47	418.349	0.0438107	11.1239
43	1	0.249357	0.543482	1.16099	1.46967	216.851	417.462	0.0435786	10.3579
44	1	0.261488	0.524221	1.1669	1.38565	215.215	416.559	0.0433434	9.61569
45	1	0.273868	0.504867	1.17289	1.29686	213.562	415.642	0.0431054	8.89838
46	1	0.286483	0.485437	1.17897	1.20295	211.893	414.712	0.0428646	8.20698
47	1	0.29932	0.46595	1.18515	1.10339	210.208	413.767	0.0426208	7.54243
48	1	0.312364	0.446424	1.19142	0.99749	208.505	412.806	0.0423738	6.90553
49	1	0.3256	0.426879	1.1978	0.884362	206.78	411.828	0.0421231	6.297
50	1	0.339011	0.407333	1.20431	0.762906	205.03	410.829	0.0418682	5.71746
51	1	0.35258	0.387807	1.21097	0.63178	203.251	409.807	0.0416083	5.16741
52	1	0.366289	0.36832	1.2178	0.489346	201.436	408.758	0.0413427	4.64728
53	1	0.375879	0.354818	1.22189	0.402648	200.355	408.13	0.041184	4.30364
54	1	0.389674	0.335571	1.229	0.239676	198.487	407.039	0.0409093	3.83745
55	1	0.399351	0.322189	1.23331	0.136708	197.358	406.376	0.040743	3.52972
56	1	0.40902	0.308902	1.23772	0.0263128	196.207	405.698	0.0405731	3.23737
57	1	0.418843	0.295502	1.24169	0	195.176	405.088	0.0404208	2.95561
58	1	0.428607	0.282319	1.24713	0	193.769	404.251	0.0402124	2.69109
59	1	0.438302	0.269408	1.25398	0	192.006	403.197	0.0399508	2.44423
60	1	0.447987	0.256713	1.26167	0	190.042	402.014	0.0396585	2.21336
61	1	0.45769	0.244208	1.26988	0	187.958	400.75	0.0393473	1.99744
62	1	0.467426	0.231878	1.27847	0	185.797	399.428	0.0390237	1.79572
63	1	0.4772	0.219716	1.28734	0	183.583	398.062	0.038691	1.6076
64	1	0.487012	0.207718	1.29645	0	181.329	396.66	0.038351	1.43256
65	1	0.496863	0.195884	1.30577	0	179.044	395.225	0.0380052	1.27011
66	1	0.506749	0.184212	1.31528	0	176.733	393.761	0.0376542	1.1198
67	1	0.514644	0.17504	1.32366	0	174.718	392.473	0.037347	1.00856
68	1	0.524603	0.163647	1.3328	0	172.536	391.066	0.0370132	0.878785
69	1	0.532573	0.154665	1.34108	0	170.577	389.792	0.0367125	0.782983
70	1	0.540583	0.14576	1.34895	0	168.73	388.582	0.0364283	0.693656
71	1	0.548609	0.136951	1.35663	0	166.943	387.402	0.0361523	0.610786
72	1	0.556613	0.128276	1.36472	0	165.076	386.159	0.035863	0.534506
73	1	0.564627	0.119698	1.37246	0	163.304	384.97	0.0355876	0.464241
74	1	0.572632	0.111233	1.38004	0	161.586	383.808	0.0353196	0.399888
75	1	0.580613	0.102888	1.38751	0	159.902	382.661	0.0350564	0.341284
76	1	0.588559	0.0946718	1.39493	0	158.246	381.524	0.0347966	0.288236
77	1	0.595566	0.087503	1.40165	0	156.757	380.495	0.0345624	0.245701
78	1	0.602537	0.0804376	1.40799	0	155.361	379.524	0.0343424	0.20718
79	1	0.609454	0.0734895	1.4141	0	154.025	378.589	0.0341312	0.172567
80	1	0.617147	0.0658307	1.42068	0	152.597	377.582	0.0339048	0.138145
81	1	0.623494	0.0595667	1.42653	0	151.336	376.688	0.0337044	0.112885
82	1	0.630168	0.0530313	1.43227	0	150.107	375.811	0.0335087	0.0892919
83	1	0.636736	0.0466511	1.4379	0	148.909	374.952	0.0333174	0.0689611
84	1	0.642797	0.0408055	1.44314	0	147.803	374.154	0.0331405	0.052665
85	1	0.648734	0.0351178	1.44811	0	146.757	373.396	0.0329729	0.038937
86	1	0.654531	0.0296002	1.45289	0	145.757	372.667	0.0328122	0.0276148
87	1	0.660172	0.024265	1.45752	0	144.795	371.963	0.0326575	0.0185256
88	1	0.665638	0.0191246	1.46199	0	143.87	371.282	0.0325082	0.0114888
89	1	0.670913	0.0141924	1.46632	0	142.98	370.625	0.0323644	0.00631684
90	1	0.675977	0.00948315	1.47049	0	142.126	369.991	0.0322263	0.00281582
91	1	0.680662	0.00514822	1.47438	0	141.333	369.4	0.0320978	0.000828628
92	1	0.685099	0.00106219	1.47804	0	140.591	368.845	0.0319773	3.52395e-05
93	1	0.686255	0	1.47804	0	140.591	368.845	0.0319773	0

0	2	0.000920735	1	1.17816	0.0527543	212.115	414.836	0.0428965	36.0074
1	2	0.00149684	0.999076	1.17702	0.0799959	212.429	415.011	0.0429419	35.9419
2	2	0.00230366	0.997779	1.17543	0.117663	212.865	415.254	0.0430048	35.85
3	2	0.00334166	0.996102	1.17342	0.165308	213.418	415.562	0.0430846	35.7313
4	2	0.00461152	0.994042	1.171	0.222371	214.083	415.932	0.0431804	35.5856
5	2	0.00611415	0.991589	1.16821	0.28819	214.853	416.359	0.0432913	35.4122
6	2	0.00785071	0.988736	1.16506	0.362006	215.721	416.839	0.0434163	35.2108
7	2	0.00982264	0.985471	1.16161	0.442976	216.679	417.367	0.0435539	34.9807
8	2	0.0120316	0.981782	1.15787	0.530185	217.717	417.937	0.0437027	34.7212
9	2	0.0144797	0.977655	1.1539	0.622659	218.823	418.543	0.0438613	34.4315
10	2	0.0171693	0.973075	1.14974	0.719375	219.987	419.178	0.0440278	34.1109
11	2	0.0201028	0.968024	1.14543	0.819281	221.196	419.834	0.0442005	33.7584
12	2	0.0232833	0.962484	1.14102	0.921311	222.436	420.506	0.0443774	33.3731
13	2	0.0267139	0.956434	1.13657	1.02439	223.693	421.183	0.0445563	32.9542
14	2	0.0303981	0.949853	1.13213	1.12747	224.952	421.859	0.0447353	32.5008
15	2	0.0343396	0.942721	1.12775	1.22951	226.197	422.525	0.044912	32.012
16	2	0.0385423	0.935015	1.12349	1.3295	227.411	423.172	0.0450841	31.4872
17	2	0.04301	0.926713	1.11941	1.42651	228.579	423.791	0.0452493	30.9259
18	2	0.047747	0.917797	1.11557	1.51962	229.682	424.374	0.0454051	30.3278
19	2	0.0527573	0.908249	1.11201	1.60798	230.703	424.913	0.0455492	29.6928
20	2	0.058045	0.898055	1.10882	1.69079	231.625	425.397	0.0456792	29.0215
21	2	0.0636143	0.887206	1.10602	1.76731	232.432	425.82	0.0457928	28.3147
22	2	0.0694691	0.875698	1.10369	1.83684	233.106	426.173	0.0458876	27.5737
23	2	0.0756132	0.863536	1.10187	1.89875	233.634	426.448	0.0459618	26.8004
24	2	0.0820504	0.850729	1.1006	1.95248	234.002	426.64	0.0460135	25.9974
25	2	0.0887842	0.837296	1.09992	1.99754	234.199	426.743	0.0460413	25.1676
26	2	0.0958182	0.823264	1.09985	2.03354	234.22	426.753	0.0460441	24.3145
27	2	0.103156	0.808663	1.1004	2.06019	234.06	426.67	0.0460216	23.442
28	2	0.1108	0.79353	1.10158	2.07735	233.72	426.493	0.0459739	22.554
29	2	0.118754	0.777905	1.10335	2.08502	233.205	426.224	0.0459016	21.6547
30	2	0.127021	0.761827	1.1057	2.08334	232.524	425.868	0.0458058	20.7482
31	2	0.135603	0.745336	1.10859	2.07258	231.69	425.431	0.0456883	19.8383
32	2	0.144501	0.728471	1.11197	2.05314	230.715	424.919	0.0455509	18.9286
33	2	0.153716	0.711264	1.11579	2.0255	229.616	424.34	0.0453959	18.0225
34	2	0.163249	0.69375	1.12	1.99022	228.409	423.701	0.0452252	17.123
35	2	0.173097	0.675956	1.12455	1.94786	227.109	423.011	0.0450413	16.2329
36	2	0.183259	0.657908	1.12939	1.899	225.732	422.276	0.044846	15.3546
37	2	0.19373	0.639632	1.13446	1.84418	224.291	421.504	0.0446413	14.4903
38	2	0.204505	0.621148	1.13974	1.78387	222.797	420.701	0.0444288	13.642
39	2	0.215577	0.602477	1.14519	1.7185	221.263	419.87	0.04421	12.8116
40	2	0.22694	0.583638	1.15079	1.64838	219.695	419.018	0.0439859	12.0007
41	2	0.238583	0.564651	1.1565	1.5737	218.1	418.147	0.0437577	11.2107
42	2	0.250499	0.545533	1.16231	1.49455	216.484	417.259	0.0435259	10.4432
43	2	0.262674	0.526302	1.16822	1.41088	214.85	416.357	0.0432909	9.69925
44	2	0.275098	0.506977	1.17421	1.32248	213.199	415.441	0.0430531	8.98006
45	2	0.287758	0.487574	1.18029	1.229	211.533	414.51	0.0428125	8.28667
46	2	0.30064	0.468113	1.18646	1.12994	209.85	413.565	0.0425689	7.62
47	2	0.313729	0.448612	1.19274	1.0246	208.148	412.604	0.042322	6.98087
48	2	0.327011	0.42909	1.19912	0.912113	206.425	411.625	0.0420715	6.37
49	2	0.340469	0.409566	1.20563	0.791393	204.677	410.626	0.0418166	5.78803
50	2	0.354085	0.39006	1.2123	0.661117	202.899	409.604	0.0415569	5.23547
51	2	0.367842	0.370593	1.21913	0.519675	201.086	408.555	0.0412913	4.71274
52	2	0.377463	0.357106	1.22322	0.433696	200.004	407.926	0.0411325	4.36732
53	2	0.391307	0.337875	1.23033	0.272008	198.138	406.835	0.040858	3.89844
54	2	0.401017	0.324506	1.23464	0.17	197.009	406.171	0.0406915	3.58886
55	2	0.410719	0.311232	1.23906	0.0606846	195.858	405.492	0.0405216	3.29463
56	2	0.420561	0.297835	1.24157	0	195.206	405.106	0.0404253	3.01076
57	2	0.430316	0.28462	1.24435	0	194.486	404.678	0.0403186	2.74333
58	2	0.439981	0.271639	1.24918	0	193.24	403.936	0.040134	2.49278
59	2	0.449621	0.258852	1.25544	0	191.631	402.972	0.0398951	2.25784
60	2	0.459269	0.24624	1.26269	0	189.782	401.857	0.0396197	2.03774
61	2	0.468942	0.233796	1.27061	0	187.775	400.638	0.03932	1.8319
62	2	0.478649	0.221518	1.279	0	185.664	399.346	0.0390036	1.63984
63	2	0.488392	0.209405	1.28776	0	183.48	397.998	0.0386754	1.46109
64	2	0.498172	0.197457	1.2968	0	181.245	396.607	0.0383383	1.29517
65	2	0.507986	0.185673	1.30607	0	178.972	395.179	0.0379942	1.14165
66	2	0.515827	0.176415	1.31489	0	176.829	393.822	0.0376688	1.02806
67	2	0.525718	0.164923	1.32387	0	174.667	392.44	0.0373392	0.895638
68	2	0.533636	0.155864	1.3325	0	172.608	391.113	0.0370243	0.797899
69	2	0.541596	0.146887	1.34074	0	170.657	389.844	0.0367248	0.70683
70	2	0.549575	0.138012	1.3487	0	168.789	388.62	0.0364372	0.622391
71	2	0.557534	0.129275	1.35673	0	166.921	387.387	0.0361488	0.544684
72	2	0.565504	0.120637	1.36461	0	165.102	386.176	0.035867	0.473114
73	2	0.573466	0.112115	1.37234	0	163.334	384.99	0.0355921	0.407581
74	2	0.581405	0.103716	1.37994	0	161.608	383.823	0.0353232	0.347912
75	2	0.589311	0.0954493	1.38744	0	159.918	382.672	0.0350589	0.293905
76	2	0.596284	0.0882379	1.39455	0	158.329	381.582	0.0348097	0.250609
77	2	0.603223	0.0811335	1.40128	0	156.838	380.551	0.0345753	0.211412
78	2	0.610111	0.0741496	1.4077	0	155.425	379.569	0.0343525	0.1762
79	2	0.617772	0.0664529	1.4142	0	154.004	378.574	0.0341279	0.141174
80	2	0.624093	0.0601586	1.42037	0	152.664	377.63	0.0339155	0.115464
81	2	0.630743	0.0535935	1.42633	0	151.38	376.72	0.0337115	0.0914459
82	2	0.637286	0.0471857	1.43212	0	150.139	375.835	0.0335139	0.0707391
83	2	0.643326	0.0413159	1.43763	0	148.966	374.994	0.0333267	0.0541309
84	2	0.649244	0.035606	1.44287	0	147.858	374.194	0.0331493	0.0401285
85	2	0.655023	0.0300683	1.44789	0	146.804	373.43	0.0329804	0.0285653
86	2	0.660647	0.0247145	1.4527	0	145.796	372.696	0.0328185	0.0192646
87	2	0.666098	0.019557	1.45735	0	144.83	371.989	0.032663	0.0120425
88	2	0.671358	0.0146091	1.46184	0	143.902	371.306	0.0325134	0.00670859
89	2	0.676409	0.00988547	1.46616	0	143.012	370.648	0.0323696	0.00306664
90	2	0.681083	0.00553796	1.47027	0	142.17	370.024	0.0322334	0.000960898
91	2	0.68551	0.00144076	1.47416	0	141.379	369.434	0.0321051	6.49367e-05
92	2	0.686664	0.000376396	1.4761	0	140.984	369.139	0.0320411	4.42978e-06
93	2	0.687073	0	1.4761	0	140.984	369.139	0.0320411	0

0	3	0.00207073	1	1.17865	0.118644	211.981	414.761	0.0428772	36.0124
1	3	0.00287833	0.998711	1.17707	0.156318	212.415	415.003	0.0429398	35.9209
2	3	0.00391738	0.997045	1.17507	0.203971	212.964	415.31	0.0430192	35.8027
3	3	0.00518859	0.994995	1.17266	0.261045	213.626	415.678	0.0431146	35.6576
4	3	0.00669289	0.992557	1.16988	0.326875	214.392	416.103	0.0432249	35.4851
5	3	0.00843151	0.98972	1.16675	0.400704	215.255	416.581	0.0433492	35.2846
6	3	0.0104059	0.986473	1.16331	0.481689	216.207	417.107	0.043486	35.0556
7	3	0.0126179	0.982806	1.1596	0.568914	217.238	417.674	0.043634	34.7974
8	3	0.0150696	0.978704	1.15565	0.661404	218.337	418.277	0.0437916	34.5091
9	3	0.0177634	0.974151	1.15151	0.758137	219.493	418.908	0.0439571	34.19
10	3	0.020702	0.969131	1.14722	0.858061	220.693	419.561	0.0441287	33.8392
11	3	0.0238884	0.963625	1.14284	0.960107	221.924	420.229	0.0443043	33.4559
12	3	0.027326	0.957614	1.13842	1.0632	223.171	420.902	0.044482	33.0391
13	3	0.0310185	0.951076	1.13401	1.16629	224.419	421.573	0.0446596	32.588
14	3	0.0349695	0.943991	1.12966	1.26834	225.653	422.234	0.0448348	32.1018
15	3	0.0391833	0.936337	1.12544	1.36835	226.856	422.876	0.0450054	31.5798
16	3	0.043664	0.928093	1.1214	1.46536	228.011	423.49	0.0451689	31.0215
17	3	0.0484159	0.91924	1.11759	1.55847	229.101	424.068	0.0453232	30.4266
18	3	0.0534434	0.90976	1.11407	1.64683	230.11	424.601	0.0454656	29.7952
19	3	0.0587509	0.899641	1.11091	1.72962	231.021	425.08	0.045594	29.1275
20	3	0.0643428	0.888872	1.10816	1.80612	231.815	425.497	0.045706	28.4245
21	3	0.0702232	0.877449	1.10586	1.87562	232.479	425.844	0.0457994	27.6874
22	3	0.0763962	0.865377	1.10407	1.93751	232.996	426.115	0.0458722	26.9182
23	3	0.0828658	0.852665	1.10283	1.9912	233.355	426.303	0.0459226	26.1192
24	3	0.0896358	0.83933	1.10218	2.03623	233.545	426.402	0.0459494	25.2934
25	3	0.0967097	0.825397	1.10213	2.07219	233.56	426.409	0.0459514	24.4441
26	3	0.104091	0.810896	1.10269	2.09881	233.396	426.324	0.0459283	23.575
27	3	0.111783	0.795863	1.10388	2.11596	233.053	426.145	0.0458802	22.6902
28	3	0.119788	0.780336	1.10566	2.12363	232.538	425.876	0.0458077	21.7937
29	3	0.128108	0.764354	1.10801	2.12197	231.858	425.519	0.045712	20.8895
30	3	0.136747	0.747956	1.11089	2.11126	231.026	425.082	0.0455947	19.9814
31	3	0.145705	0.731178	1.11427	2.0919	230.054	424.571	0.0454577	19.0731
32	3	0.154983	0.714055	1.11808	2.06437	228.96	423.993	0.0453031	18.1678
33	3	0.16458	0.69662	1.12228	2.02923	227.757	423.355	0.045133	17.2687
34	3	0.174494	0.678901	1.12682	1.98706	226.463	422.666	0.0449496	16.3785
35	3	0.184723	0.660925	1.13164	1.93841	225.091	421.933	0.044755	15.4996
36	3	0.195262	0.642716	1.13671	1.88385	223.655	421.162	0.0445508	14.6343
37	3	0.206107	0.624296	1.14198	1.82385	222.167	420.36	0.0443389	13.7847
