Summary output file for CONGO-2D

Definition of terms:
Stream Thrust = Mdot*Vel + Pexit*Aexit
Gross Thrust = Mdot*Vel + Pexit*Aexit - Pamb*Aexit
Stream Thrust = Gross Thrust when Pamb = 0 (vacuum)
Cfg = Nozzle Thrust Coefficient (Gross Isp/Ideal Isp)
C* = Characteristic Exhaust Velocity
CD = Discharge coefficient: Massflow 2D/ Massflow 1D
1D = Assumes input are axial
2D = Uses actual flow angles in calculation

Input parameters
R*  = Throat Radius (in)

Nozzle Type: Perfect Nozzle

Nozzle Geometry:	Axisymmetric Nozzle
Design Parameter:	Exit Mach Number = 3.5
Throat Geometry created by two arcs of given radii.
Upstream Radius/R*:	1
Downstream Radius/R*:	1

Thermodynamic Inputs
Total Pressure (psia):	55
Total Temperature (R):	530
Gamma:	1.4
Molecular Weight:	28.96
Ambient Pressure (psia):	0

MOC Grid Parameters
Number of characteristic lines at the nozzle throat:	101
Maximum allowable angle between characteristics along wall (deg):	0.5
Number of RRCs to calculate above KERNEL (50-100):	100

The Initial Data Line is where the MOC calculation begins.
Its based on the upstream radius of curvature and gamma.
It is solved for using a method developed
by Kliegel and Levine. This method is based on a method
developed by Hall. Hall used cylindrical coordinates (R)
This method uses toroid coordinates (R+1). This method
does better for small upstream radii.

Initial Data Line (Throat)

I	X/R*	R/R*	Mach	Flow Angle(deg)	Pres.(psia)	Temp.(R)	Den.(slug/ft3)	Gamma	Mass Flow(lbm/s)
70	0.97657	1.25307	2.01114	17.2358	6.90848	292.99	0.00197814	1.4	3.95979	0.753665
71	1.05416	1.27708	2.04057	17.1555	6.59889	289.177	0.00191441	1.4	3.95979	0.753667
72	1.13381	1.30159	2.06975	17.0526	6.30528	285.441	0.00185317	1.4	3.95979	0.753658
73	1.21538	1.32652	2.09865	16.9293	6.02709	281.785	0.00179439	1.4	3.95979	0.75367
74	1.2988	1.35181	2.12702	16.7938	5.76575	278.238	0.00173847	1.4	3.95979	0.753657
75	1.38397	1.37739	2.15506	16.6419	5.51839	274.774	0.00168486	1.4	3.95979	0.753667
76	1.4708	1.40322	2.18158	16.5063	5.2941	271.536	0.00163566	1.4	3.95979	0.75367
77	1.55912	1.42929	2.20675	16.3836	5.08963	268.497	0.00159028	1.4	3.95979	0.75367
78	1.64885	1.45555	2.23193	16.2393	4.89291	265.49	0.00154613	1.4	3.95979	0.753671
79	1.73998	1.48196	2.25706	16.0767	4.70423	262.524	0.00150331	1.4	3.95979	0.753672
80	1.83248	1.50846	2.28209	15.8979	4.52351	259.602	0.00146182	1.4	3.95979	0.753673
81	1.92633	1.535	2.30734	15.6964	4.34826	256.688	0.00142114	1.4	3.95979	0.75367
82	2.02152	1.56156	2.33259	15.4789	4.17986	253.807	0.00138161	1.4	3.95979	0.753672
83	2.11804	1.58809	2.3576	15.2528	4.01961	250.988	0.00134356	1.4	3.95979	0.75367
84	2.21589	1.61455	2.38225	15.0215	3.8677	248.241	0.00130709	1.4	3.95979	0.753671
85	2.31504	1.64093	2.40712	14.7721	3.72036	245.501	0.00127133	1.4	3.95979	0.753671
86	2.41548	1.66718	2.43156	14.5213	3.58116	242.841	0.00123717	1.4	3.95979	0.753673
87	2.51723	1.69329	2.4558	14.2643	3.44838	240.234	0.00120423	1.4	3.95979	0.753673
88	2.62026	1.71923	2.48013	13.9947	3.3201	237.646	0.00117206	1.4	3.95979	0.753673
89	2.72457	1.74496	2.50395	13.7278	3.1993	235.142	0.00114144	1.4	3.95979	0.753672
90	2.83021	1.77048	2.52886	13.4269	3.07781	232.556	0.00111031	1.4	3.95979	0.753673
91	2.93713	1.79575	2.5514	13.1725	2.97195	230.242	0.00108289	1.4	3.95979	0.753673
92	3.04524	1.8208	2.57338	12.9229	2.87234	228.01	0.00105684	1.4	3.95979	0.753672
93	3.15451	1.84562	2.59525	12.6685	2.77667	225.814	0.00103157	1.4	3.95979	0.753653
94	3.26497	1.87018	2.61728	12.4037	2.68365	223.626	0.00100677	1.4	3.95979	0.753647
95	3.37664	1.89445	2.63972	12.1234	2.5922	221.422	0.000982145	1.4	3.95978	0.753613
96	3.48955	1.91841	2.6627	11.8253	2.50191	219.19	0.000957585	1.4	3.95978	0.753394
97	3.60386	1.94202	2.68604	11.5143	2.41353	216.95	0.000933301	1.4	3.95979	0.753625
98	3.71944	1.96524	2.70889	11.2092	2.33019	214.782	0.000910166	1.4	3.95977	0.753288
99	3.83648	1.98812	2.73143	10.9066	2.25091	212.668	0.000887937	1.4	3.95979	0.75363
100	3.95472	2.01059	2.7532	10.6161	2.17703	210.65	0.000867021	1.4	3.95978	0.75339
101	4.07438	2.03271	2.77458	10.3301	2.10692	208.689	0.000846983	1.4	3.95979	0.753664
102	4.19506	2.0544	2.79572	10.0447	2.03993	206.772	0.00082766	1.4	3.95977	0.753268
103	4.31728	2.07574	2.81672	9.75968	1.97563	204.888	0.000808939	1.4	3.95979	0.753637
104	4.44071	2.09666	2.83719	9.4819	1.91496	203.07	0.000791119	1.4	3.95979	0.753652
105	4.56533	2.11716	2.85743	9.20562	1.85692	201.293	0.000773916	1.4	3.95979	0.753628
106	4.69124	2.13726	2.87735	8.93307	1.80163	199.561	0.000757384	1.4	3.95979	0.753631
107	4.81835	2.15693	2.89691	8.6647	1.74899	197.878	0.000741512	1.4	3.95978	0.753582
108	4.94678	2.17619	2.91631	8.39711	1.6984	196.225	0.000726127	1.4	3.95979	0.753652
109	5.07638	2.19502	2.93528	8.13552	1.65044	194.626	0.000711419	1.4	3.95979	0.753673
110	5.20708	2.21341	2.95399	7.8763	1.60453	193.063	0.000697227	1.4	3.95978	0.753599
111	5.33916	2.23137	2.97247	7.61974	1.56052	191.535	0.000683513	1.4	3.95979	0.753628
112	5.47235	2.24889	2.99059	7.36771	1.5186	190.051	0.000670347	1.4	3.95978	0.75353
113	5.60673	2.26597	3.00846	7.11848	1.47844	188.601	0.000657636	1.4	3.95978	0.753607
114	5.74242	2.28262	3.02608	6.87225	1.43994	187.185	0.000645359	1.4	3.95979	0.753633
115	5.87916	2.29881	3.04333	6.63066	1.40326	185.81	0.000633573	1.4	3.95978	0.753472
116	6.01704	2.31455	3.06032	6.39237	1.36813	184.469	0.000622204	1.4	3.95978	0.753545
117	6.15634	2.32986	3.07713	6.15598	1.33428	183.153	0.000611169	1.4	3.95979	0.753633
118	6.29667	2.34471	3.09359	5.92432	1.30202	181.877	0.000600575	1.4	3.95979	0.75365
119	6.43814	2.3591	3.10977	5.69608	1.2711	180.632	0.000590354	1.4	3.95979	0.753672
120	6.58068	2.37304	3.12563	5.47216	1.24157	179.423	0.000580525	1.4	3.95979	0.753662
121	6.72438	2.38653	3.14122	5.25147	1.21324	178.244	0.000571031	1.4	3.95979	0.753649
122	6.86922	2.39956	3.15654	5.03443	1.18609	177.095	0.000561874	1.4	3.95979	0.753639
123	7.01515	2.41214	3.17156	4.82121	1.16009	175.977	0.000553049	1.4	3.95978	0.753603
124	7.16222	2.42428	3.18633	4.61114	1.13512	174.886	0.000544519	1.4	3.95979	0.753665
125	7.31035	2.43595	3.20079	4.4052	1.11123	173.827	0.00053631	1.4	3.95979	0.753654
126	7.45955	2.44718	3.21497	4.20291	1.08833	172.796	0.000528392	1.4	3.95979	0.753642
127	7.60979	2.45796	3.22885	4.00457	1.06641	171.794	0.000520767	1.4	3.95978	0.753572
128	7.76106	2.46829	3.24243	3.81014	1.04541	170.821	0.000513423	1.4	3.95978	0.75362
129	7.91354	2.47819	3.25581	3.61827	1.02516	169.869	0.0005063	1.4	3.95979	0.753641
130	8.06698	2.48764	3.26887	3.43058	1.0058	168.946	0.000499451	1.4	3.95979	0.753653
131	8.22142	2.49665	3.28163	3.2469	0.987267	168.05	0.000492859	1.4	3.95979	0.753672
132	8.37655	2.50521	3.29394	3.06915	0.969725	167.192	0.000486588	1.4	3.95978	0.753494
133	8.53305	2.51336	3.30617	2.89241	0.952641	166.345	0.000480449	1.4	3.95979	0.753637
134	8.69055	2.52107	3.31811	2.71951	0.936276	165.523	0.00047454	1.4	3.95979	0.753648
135	8.84892	2.52836	3.32971	2.55102	0.920658	164.73	0.000468872	1.4	3.95979	0.753651
136	9.00827	2.53523	3.34104	2.38611	0.905678	163.959	0.00046341	1.4	3.95979	0.753673
137	9.16842	2.54168	3.352	2.22617	0.891439	163.219	0.000458194	1.4	3.95979	0.753667
138	9.32948	2.54772	3.36266	2.07017	0.877821	162.502	0.000453183	1.4	3.95979	0.753639
139	9.4916	2.55336	3.37311	1.91688	0.864685	161.804	0.000448329	1.4	3.95979	0.75366
140	9.6545	2.5586	3.38321	1.7683	0.852195	161.133	0.000443694	1.4	3.95979	0.753672
141	9.81821	2.56345	3.39296	1.62427	0.840311	160.487	0.000439265	1.4	3.95979	0.753664
142	9.9828	2.56791	3.40243	1.48406	0.828949	159.864	0.000435015	1.4	3.95979	0.753657
143	10.1482	2.572	3.41158	1.34814	0.818128	159.265	0.000430951	1.4	3.95979	0.753632
144	10.3143	2.57572	3.42036	1.21719	0.807888	158.693	0.000427091	1.4	3.95979	0.75364
145	10.4815	2.57908	3.42898	1.08849	0.797978	158.135	0.000423342	1.4	3.95979	0.753661
146	10.6493	2.58209	3.4372	0.965043	0.788636	157.603	0.000419796	1.4	3.95979	0.753673
147	10.8177	2.58475	3.44502	0.847179	0.77987	157.101	0.000416458	1.4	3.95979	0.75367
148	10.9869	2.58708	3.45251	0.733784	0.771567	156.621	0.000413286	1.4	3.95979	0.753666
149	11.1566	2.5891	3.45957	0.626284	0.763822	156.17	0.000410318	1.4	3.95979	0.753625
150	11.3271	2.59081	3.46626	0.524106	0.756572	155.745	0.000407533	1.4	3.95979	0.753634
151	11.4985	2.59222	3.4729	0.422554	0.749445	155.325	0.000404787	1.4	3.95979	0.753673
152	11.6702	2.59335	3.47884	0.330919	0.74313	154.95	0.000402348	1.4	3.95979	0.753672
153	11.8424	2.59422	3.48437	0.245216	0.737305	154.602	0.000400093	1.4	3.95979	0.753671
154	12.0153	2.59484	3.48941	0.16669	0.732038	154.285	0.000398049	1.4	3.95979	0.753671
155	12.1886	2.59523	3.49389	0.0965099	0.727391	154.005	0.000396242	1.4	3.95979	0.753671
156	12.3623	2.59543	3.49751	0.0393517	0.723652	153.778	0.000394787	1.4	3.95979	0.753671
157	12.5363	2.59548	3.5	0	0.721101	153.623	0.000393792	1.4	3.95979	0.753673


Nozzle Summary
Throat Radius R* (in):	1.000
Nozzle Length/R*:	12.5363
Expansion Ratio:	6.73651
Exit Area (in2):	21.1634
Surface Area (in2):	170.836

Nozzle Exit Plane Data
J	X/R*	R/R*	Mach	Theta(deg)	P(psia)	T(R)	Velocity(ft/s)	Density(slug/ft3)	Gamma	Mass Flow (lbm/s)	Stream Thrust(lbf)
107	12.5363	0	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0	0
108	12.5363	0.0519096	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.00158391	0.110794
109	12.5363	0.103819	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.00633566	0.443177
110	12.5363	0.155729	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.0142552	0.997148
111	12.5363	0.207638	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.0253426	1.77271
112	12.5363	0.259548	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.0395979	2.76986
113	12.5363	0.311457	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.0570209	3.98859
114	12.5363	0.363367	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.0776118	5.42892
115	12.5363	0.415277	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.101371	7.09083
116	12.5363	0.467186	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.128297	8.97433
117	12.5363	0.519096	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.158391	11.0794
118	12.5363	0.571005	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.191654	13.4061
119	12.5363	0.622915	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.228084	15.9544
120	12.5363	0.674824	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.267682	18.7242
121	12.5363	0.726734	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.310447	21.7157
122	12.5363	0.778644	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.356381	24.9287
123	12.5363	0.830553	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.405482	28.3633
124	12.5363	0.882463	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.457751	32.0195
125	12.5363	0.934372	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.513188	35.8973
126	12.5363	0.986282	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.571793	39.9967
127	12.5363	1.03819	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.633566	44.3177
128	12.5363	1.0901	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.698506	48.8603
129	12.5363	1.14201	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.766615	53.6244
130	12.5363	1.19392	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.837891	58.6102
131	12.5363	1.24583	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.912335	63.8175
132	12.5363	1.29774	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	0.989947	69.2464
133	12.5363	1.34965	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	1.07073	74.8969
134	12.5363	1.40156	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	1.15467	80.769
135	12.5363	1.45347	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	1.24179	86.8627
136	12.5363	1.50538	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	1.33207	93.178
137	12.5363	1.55729	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	1.42552	99.7148
138	12.5363	1.6092	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	1.52214	106.473
139	12.5363	1.66111	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	1.62193	113.453
140	12.5363	1.71302	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	1.72488	120.655
141	12.5363	1.76493	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	1.83101	128.078
142	12.5363	1.81683	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	1.9403	135.723
143	12.5363	1.86874	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	2.05275	143.589
144	12.5363	1.92065	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	2.16838	151.677
145	12.5363	1.97256	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	2.28717	159.987
146	12.5363	2.02447	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	2.40913	168.518
147	12.5363	2.07638	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	2.53426	177.271
148	12.5363	2.12829	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	2.66256	186.245
149	12.5363	2.1802	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	2.79403	195.441
150	12.5363	2.23211	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	2.92866	204.859
151	12.5363	2.28402	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	3.06646	214.498
152	12.5363	2.33593	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	3.20743	224.358
153	12.5363	2.38784	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	3.35156	234.441
154	12.5363	2.43975	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	3.49887	244.744
155	12.5363	2.49166	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	3.64934	255.27
156	12.5363	2.54357	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	3.80298	266.017
157	12.5363	2.59548	3.5	0	0.721101	153.623	2126.56	0.000393792	1.4	3.95979	276.986

Exit Mach at wall:	3.5
Exit Mach at centerline:	3.5
Massflow (lbm/s):	3.95979
Stream Thrust (lbf):	276.986
Isp (lbf-s/lbm):	69.9496
Ideal Isp (lbf-s/lbm:	100
Cfg:	0.699496
% diffence in initial and exit mass flow:	0.753673

All of the MOC data can be found in the file MOC_Grid.out
The Streamlines can be found in SL.out
The centerline data can be found in center.out
